record_id,title,service,ticket_type,indicator
SYN-01062,service needed: prepare special meal in reception today.,Food Services,Service Request,IND-08
SYN-01063,"Please adjust the lighting at main office, before noon.",Facilities,Service Request,IND-01
SYN-01064,"Repair water leak at north wing, when available.",Facilities,Service Request,IND-01
SYN-01065,help needed to reset laptop in north wing when available.,IT Support,Support Request,IND-10
SYN-01066,"The meal order issue at reception happened again, please review.",IT Support,Complaint,IND-09
SYN-01067,"Please provide support to restore the elevator at north wing, this afternoon.",Facilities,Support Request,IND-10
SYN-01068,service needed: prepare special meal in reception when available.,Food Services,Service Request,IND-04
SYN-01069,"please provide support to inspect the window at level two, before noon.",Cleaning,Support Request,IND-10
SYN-01070,Help needed to inspect portable monitor in reception when available.,Equipment,Support Request,IND-10
SYN-01071,Complaint: recurring issue with application at storage area.,IT Support,Complaint,IND-08
SYN-01072,"Please clean the meeting room at storage area, before noon.",Customer Support,Service Request,IND-08
SYN-01073,Complaint: recurring issue with shipment at north wing,Logistics,Complaint,IND-09
SYN-01074,"Please provide support to locate the package at level two, when available.",Logistics,Support Request,IND-10
SYN-01075,request to schedule delivery cart - level two - before noon,Logistics,Service Request,IND-03
SYN-01076,"Collect package at north wing, today.",Logistics,Service Request,IND-03
SYN-01077,"Please transfer the package at north wing, this afternoon.",Food Services,Service Request,IND-04
SYN-01078,"Follow up feedback at storage area, as soon as possible.",Customer Support,Complaint,IND-09
SYN-01079,Request to deliver document box - level two - before noon.,Logistics,Service Request,IND-03
SYN-01080,"please transfer the delivery cart at main office, today.",Logistics,Service Request,IND-03
SYN-01081,Request to adjust door - storage area - before noon.,Facilities,Service Request,IND-01
SYN-01082,"Please provide support to reset the user account at main office, today.",IT Support,Support Request,IND-10
SYN-01083,Request to locate delivery cart - level two - today.,Logistics,Service Request,IND-03
SYN-01084,"Please provide support to calibrate the office chair at north wing, before noon",Equipment,Support Request,IND-10
SYN-01085,"Please check the door at level two, as soon as possible.",Facilities,Service Request,IND-01
SYN-01086,Complaint: recurring issue with window at storage area.,Cleaning,Complaint,IND-09
SYN-01087,Request to transfer shipment - north wing - today.,Logistics,Service Request,IND-03
SYN-01088,Service needed: confirm beverage station in reception when available.,Food Services,Service Request,IND-04
SYN-01089,"Restore water leak at reception, as soon as possible.",Facilities,Service Request,IND-01
SYN-01090,"Please check the air conditioner at reception, this afternoon.",Facilities,Service Request,IND-01
SYN-01091,request to clean waste bin - north wing - when available.,Cleaning,Service Request,IND-05
SYN-01092,"Please diagnose the printer at main office, when available",IT Support,Service Request,IND-02
SYN-01093,"Please repair the air conditioner at level two, before noon.",Facilities,Service Request,IND-01
SYN-01094,Service needed: transfer package in level two before noon.,Logistics,Service Request,IND-03
SYN-01095,Request to connect user account - main office - this afternoon.,Cleaning,Service Request,IND-05
SYN-01096,"the meeting room issue at main office happened again, please review.",Cleaning,Complaint,IND-09
SYN-01097,"Repair tool kit at level two, before noon.",Equipment,Support Request,IND-10
SYN-01098,"please configure the laptop at north wing, before noon.",IT Support,Service Request,IND-02
SYN-01099,"the hallway issue at main office happened again, please review",Cleaning,Complaint,IND-09
SYN-01100,Request to configure user account - reception - as soon as possible.,IT Support,Service Request,IND-02
SYN-01101,"Schedule supply order at north wing, when available.",Facilities,Complaint,IND-09
SYN-01102,Request to authorize lost item - storage area - as soon as possible.,Security,Service Request,IND-06
SYN-01103,svc needed: calibrate projector in north wing when available.,Equipment,Service Request,IND-07
SYN-01104,"Check air conditioner at level two, before noon.",Facilities,Support Request,IND-10
SYN-01105,"Please repair the elevator at main office, today.",Facilities,Service Request,IND-01
SYN-01106,"Diagnose printer at storage area, when available.",IT Support,Complaint,IND-09
SYN-01107,Service needed: locate camera in north wing as soon as possible.,Security,Service Request,IND-06
SYN-01108,Request to register information request - north wing - as soon as possible.,Customer Support,Service Request,IND-08
SYN-01109,"please provide support to inspect the door at main office, today.",Facilities,Support Request,IND-10
SYN-01110,"Please collect the delivery cart at reception, when available.",Logistics,Service Request,IND-03
SYN-01111,Service needed: reset network in reception this afternoon.,IT Support,Service Request,IND-02
SYN-01112,Request to schedule document box - level two - when available.,Logistics,Service Request,IND-03
SYN-01113,"Please deliver the delivery cart at reception, today.",Logistics,Service Request,IND-03
SYN-01114,"Please provide support to clean the spill at storage area, as soon as possible.",IT Support,Support Request,IND-10
SYN-01115,"Please review the special meal at north wing, before noon.",Food Services,Service Request,IND-04
SYN-01116,Help needed to adjust door in storage area before noon.,Facilities,Support Request,IND-10
SYN-01117,Service needed: calibrate projector in main office this afternoon.,Equipment,Service Request,IND-07
SYN-01118,"Please diagnose the laptop at storage area, as soon as possible.",IT Support,Service Request,IND-02
SYN-01119,"The air conditioner issue at level two happened again, please review.",Facilities,Complaint,IND-09
SYN-01120,"please prepare the food tray at level two, this afternoon.",Food Services,Service Request,IND-04
SYN-01121,"Schedule supply order at main office, this afternoon.",Logistics,Service Request,IND-03
SYN-01122,complaint: recurring issue with hallway at main office.,Cleaning,Complaint,IND-09
SYN-01123,"The air conditioner issue at north wing happened again, please review",Facilities,Complaint,IND-09
SYN-01124,"please replace the tool kit at north wing, this afternoon.",Equipment,Service Request,IND-07
SYN-01125,Request to adjust elevator - storage area - this afternoon.,Facilities,Service Request,IND-01
SYN-01126,Help needed to locate delivery cart in storage area today.,Logistics,Support Request,IND-10
SYN-01127,"Please provide support to reset the application at north wing, before noon.",IT Support,Support Request,IND-10
SYN-01128,"please prepare the special meal at main office, this afternoon",Food Services,Service Request,IND-04
SYN-01129,"Configure user account at storage area, before noon.",Logistics,Service Request,IND-03
SYN-01130,Help needed to inspect lighting in storage area as soon as possible,Facilities,Support Request,IND-10
SYN-01131,request to inspect air conditioner - level two - before noon,Facilities,Service Request,IND-01
SYN-01132,Service needed: clean window in north wing before noon.,Cleaning,Service Request,IND-05
SYN-01133,service needed: check elevator in storage area today.,Facilities,Service Request,IND-01
SYN-01134,"Clean window at reception, today.",Cleaning,Support Request,IND-10
SYN-01135,"Check water leak at reception, today.",Facilities,Service Request,IND-01
SYN-01137,"Schedule supply order at main office, before noon.",Logistics,Service Request,IND-03
SYN-01138,Service needed: calibrate tool kit in main office this afternoon.,Equipment,Service Request,IND-07
SYN-01139,Request to inspect water leak - reception - this afternoon.,Facilities,Service Request,IND-01
SYN-01140,"Repair door at storage area, today.",Facilities,Support Request,IND-10
SYN-01141,"Please calibrate the tool kit at level two, as soon as possible.",Equipment,Service Request,IND-07
SYN-01142,Service needed: inspect projector in reception when available.,Equipment,Service Request,IND-07
SYN-01143,Request to adjust water leak - storage area - this afternoon.,Facilities,Service Request,IND-01
SYN-01144,"Please adjust the air conditioner at level two, before noon.",Facilities,Service Request,IND-01
SYN-01145,"Please provide support to connect the printer at north wing, as soon as possible",IT Support,Support Request,IND-10
SYN-01146,svc needed: register svc status in main office before noon,Customer Support,Service Request,IND-08
SYN-01147,"The door issue at reception happened again, please review",Facilities,Complaint,IND-09
SYN-01148,"Inspect power unit at north wing, when available.",Equipment,Service Request,IND-07
SYN-01149,"Please transfer the supply order at north wing, today.",Logistics,Service Request,IND-03
SYN-01150,Request to check elevator - level two - as soon as possible,Facilities,Service Request,IND-01
SYN-01151,"Register feedback at storage area, this afternoon.",Customer Support,Service Request,IND-08
SYN-01152,"sanitize window at storage area, today.",Cleaning,Service Request,IND-05
SYN-01153,Service needed: schedule package in north wing before noon.,Logistics,Service Request,IND-01
SYN-01154,"Reset network at reception, before noon.",IT Support,Complaint,IND-09
SYN-01155,Complaint: recurring issue with office chair at reception.,IT Support,Complaint,IND-09
SYN-01156,"Clarify appointment at main office, when available.",Customer Support,Service Request,IND-08
SYN-01157,complaint: recurring issue with food tray at north wing.,Food Services,Complaint,IND-09
SYN-01158,"the elevator issue at storage area happened again, please review.",Facilities,Complaint,IND-09
SYN-01159,"The lighting issue at storage area happened again, please review.",Facilities,Complaint,IND-09
SYN-01160,Help needed to prepare special meal in level two before noon.,Food Services,Support Request,IND-10
SYN-01162,Service needed: locate supply order in north wing this afternoon.,Logistics,Service Request,IND-03
SYN-01163,"The elevator issue at storage area happened again, please review",Facilities,Complaint,IND-09
SYN-01164,"Please inspect the tool kit at reception, as soon as possible.",Equipment,Service Request,IND-07
SYN-01165,"The document box issue at level two happened again, please review.",Logistics,Complaint,IND-09
SYN-01166,"Please schedule the shipment at storage area, when available.",Security,Service Request,IND-06
SYN-01167,"Reset printer at reception, before noon",IT Support,Service Request,IND-02
SYN-01168,"Please provide support to check the water leak at north wing, as soon as possible",Facilities,Support Request,IND-10
SYN-01169,Request to deliver shipment - storage area - as soon as possible.,Logistics,Service Request,IND-03
SYN-01170,"Inspect tool kit at main office, when available.",Equipment,Service Request,IND-07
SYN-01171,"Locate delivery cart at storage area, before noon.",Logistics,Support Request,IND-10
SYN-01172,"The package issue at level two happened again, please review.",IT Support,Complaint,IND-09
SYN-01173,"adjust water leak at main office, when available.",Facilities,Service Request,IND-01
SYN-01175,Request to replace beverage station - reception - as soon as possible.,Food Services,Service Request,IND-04
SYN-01176,Service needed: check air conditioner in north wing today.,Facilities,Service Request,IND-01
SYN-01177,"locate supply order at main office, before noon.",Logistics,Support Request,IND-10
SYN-01178,Request to check lighting - main office - this afternoon.,Facilities,Service Request,IND-01
SYN-01179,"The access badge issue at storage area happened again, please review.",Security,Complaint,IND-09
SYN-01180,"Please provide support to wash the spill at reception, today",Cleaning,Support Request,IND-10
SYN-01181,Request to wash window - main office - as soon as possible.,Cleaning,Service Request,IND-05
SYN-01182,Request to deliver special meal - reception - as soon as possible.,Food Services,Service Request,IND-04
SYN-01183,"The service status issue at storage area happened again, please review.",Customer Support,Complaint,IND-09
SYN-01184,Service needed: inspect elevator in main office this afternoon,Facilities,Service Request,IND-01
SYN-01185,"The lost item issue at north wing happened again, please review",Security,Complaint,IND-09
SYN-01186,Service needed: schedule document box in reception today.,Food Services,Service Request,IND-04
SYN-01187,Service needed: wash waste bin in storage area this afternoon.,Cleaning,Service Request,IND-05
SYN-01188,"Check elevator at main office, today.",Facilities,Service Request,IND-01
SYN-01189,Service needed: deliver meal order in level two today.,Food Services,Service Request,IND-04
SYN-01190,request to calibrate tool kit - level two - before noon.,Equipment,Service Request,IND-07
SYN-01191,"Please confirm the special meal at level two, today.",Food Services,Service Request,IND-04
SYN-01192,service needed: locate parking gate in reception before noon.,Facilities,Service Request,IND-01
SYN-01193,request to reset printer - storage area - as soon as possible.,IT Support,Service Request,IND-02
SYN-01194,Service needed: provide tool kit in reception when available.,Equipment,Service Request,IND-07
SYN-01195,"Please review the special meal at reception, before noon",Food Services,Service Request,IND-04
SYN-01196,Service needed: configure user account in reception as soon as possible.,IT Support,Service Request,IND-02
SYN-01197,"Deliver delivery cart at reception, today.",Logistics,Complaint,IND-09
SYN-01198,service needed: inspect door in main office today,Facilities,Service Request,IND-01
SYN-01199,"Please provide support to clean the hallway at level two, before noon",Cleaning,Support Request,IND-10
SYN-01200,Help needed to diagnose network in level two this afternoon.,IT Support,Support Request,IND-10
SYN-01201,Service needed: update user account in storage area today,IT Support,Service Request,IND-02
SYN-01202,"Please repair the tool kit at north wing, before noon.",Equipment,Service Request,IND-07
SYN-01203,"reset user account at level two, as soon as possible.",IT Support,Service Request,IND-02
SYN-01204,Service needed: adjust elevator in storage area this afternoon.,Facilities,Service Request,IND-01
SYN-01205,"Please provide support to calibrate the projector at main office, as soon as possible.",Equipment,Support Request,IND-10
SYN-01206,"Provide portable monitor at main office, before noon.",Equipment,Service Request,IND-07
SYN-01207,Service needed: check water leak in reception when available.,Facilities,Service Request,IND-01
SYN-01208,Service needed: register complaint in reception today.,Logistics,Service Request,IND-03
SYN-01209,Complaint: recurring issue with supply order at reception,Food Services,Complaint,IND-09
SYN-01210,"Please review the beverage station at storage area, this afternoon.",Logistics,Service Request,IND-03
SYN-01211,"Please prepare the food tray at level two, this afternoon.",Food Services,Service Request,IND-04
SYN-01212,"The meeting room issue at level two happened again, please review.",Cleaning,Complaint,IND-09
SYN-01213,Service needed: inspect elevator in level two when available.,Facilities,Service Request,IND-01
SYN-01214,Complaint: recurring issue with meal order at main office.,Food Services,Complaint,IND-09
SYN-01215,request to repair tool kit - main office - this afternoon.,Equipment,Service Request,IND-07
SYN-01216,"Please check the water leak at main office, as soon as possible.",Facilities,Service Request,IND-01
SYN-01217,"Please collect the shipment at storage area, when available.",Logistics,Service Request,IND-03
SYN-01218,request to adjust water leak - reception - as soon as possible.,Security,Service Request,IND-06
SYN-01219,Request to inspect water leak - storage area - before noon.,Facilities,Service Request,IND-01
SYN-01220,Service needed: locate visitor entrance in north wing this afternoon,Security,Service Request,IND-06
SYN-01221,Request to reset printer - main office - as soon as possible,IT Support,Service Request,IND-02
SYN-01222,"Please clean the waste bin at reception, as soon as possible.",Cleaning,Service Request,IND-05
SYN-01223,"Please provide support to sanitize the meeting room at storage area, before noon.",Cleaning,Support Request,IND-10
SYN-01224,"Confirm meal order at main office, when available",Food Services,Service Request,IND-04
SYN-01225,"monitor lost item at level two, today.",IT Support,Service Request,IND-02
SYN-01226,"Please connect the application at storage area, when available.",IT Support,Service Request,IND-02
SYN-01227,Service needed: check door in storage area when available.,Facilities,Service Request,IND-01
SYN-01228,"Please review the appointment at level two, this afternoon.",Cleaning,Service Request,IND-05
SYN-01229,Complaint: recurring issue with projector at main office.,Cleaning,Complaint,IND-09
SYN-01230,"Repair door at north wing, before noon.",Facilities,Service Request,IND-01
SYN-01231,Request to confirm meal order - level two - today.,Food Services,Service Request,IND-04
SYN-01232,"Please locate the document box at north wing, as soon as possible",Logistics,Service Request,IND-03
SYN-01233,"the portable monitor issue at reception happened again, please review.",Equipment,Complaint,IND-09
SYN-01234,"Please provide support to verify the visitor entrance at storage area, as soon as possible.",Security,Support Request,IND-10
SYN-01235,Service needed: configure network in north wing when available,IT Support,Service Request,IND-02
SYN-01236,Service needed: calibrate power unit in storage area when available,Facilities,Service Request,IND-01
SYN-01237,Service needed: check lighting in main office today,Facilities,Service Request,IND-01
SYN-01238,Help needed to reset network in north wing when available,IT Support,Support Request,IND-10
SYN-01239,"Please provide support to restore the air conditioner at level two, as soon as possible.",Facilities,Support Request,IND-10
SYN-01240,Request to confirm meal order - level two - before noon.,Food Services,Service Request,IND-04
SYN-01241,"the camera issue at storage area happened again, please review.",Security,Complaint,IND-09
SYN-01242,"please reset the laptop at reception, as soon as possible.",IT Support,Service Request,IND-02
SYN-01243,Service needed: repair elevator in storage area this afternoon.,Facilities,Service Request,IND-01
SYN-01244,"Please provide support to replace the portable monitor at main office, today",Equipment,Support Request,IND-10
SYN-01245,"Please adjust the air conditioner at storage area, as soon as possible.",Facilities,Service Request,IND-01
SYN-01246,Request to prepare food tray - north wing - this afternoon.,Food Services,Service Request,IND-04
SYN-01247,"Please follow up the feedback at main office, before noon.",Customer Support,Service Request,IND-08
SYN-01248,"Please provide support to deliver the supply order at main office, as soon as possible.",Logistics,Support Request,IND-10
SYN-01249,Request to authorize lost item - reception - as soon as possible.,Security,Service Request,IND-06
SYN-01250,"the water leak issue at reception happened again, please review.",Facilities,Complaint,IND-09
SYN-01251,help needed to clean hallway in reception as soon as possible.,Cleaning,Support Request,IND-10
SYN-01252,Help needed to deliver meal order in reception this afternoon.,Food Services,Support Request,IND-10
SYN-01253,service needed: deliver special meal in reception as soon as possible,Food Services,Service Request,IND-04
SYN-01254,Request to check water leak - reception - when available.,Facilities,Service Request,IND-04
SYN-01255,svc needed: restore lighting in main office this afternoon,Facilities,Service Request,IND-01
SYN-01256,Request to follow up feedback - main office - before noon.,Customer Support,Service Request,IND-08
SYN-01257,Service needed: update application in north wing today.,IT Support,Service Request,IND-02
SYN-01259,request to inspect meeting room - level two - this afternoon,Cleaning,Service Request,IND-05
SYN-01260,service needed: deliver shipment in north wing today.,Logistics,Service Request,IND-03
SYN-01261,Request to update laptop - storage area - this afternoon.,IT Support,Service Request,IND-02
SYN-01262,service needed: inspect tool kit in level two this afternoon.,Equipment,Service Request,IND-07
SYN-01263,"Adjust water leak at reception, as soon as possible.",Facilities,Support Request,IND-10
SYN-01264,help needed to sanitize waste bin in level two before noon.,Cleaning,Support Request,IND-10
SYN-01265,"The door issue at main office happened again, please review.",IT Support,Complaint,IND-09
SYN-01266,help needed to wash waste bin in reception as soon as possible.,Cleaning,Support Request,IND-10
SYN-01267,service needed: update network in storage area today.,IT Support,Service Request,IND-02
SYN-01268,service needed: diagnose laptop in main office before noon.,IT Support,Service Request,IND-02
SYN-01269,Service needed: replace portable monitor in main office before noon.,Equipment,Service Request,IND-07
SYN-01270,"Update network at reception, as soon as possible.",IT Support,Service Request,IND-02
SYN-01271,"Review access badge at north wing, this afternoon.",Security,Complaint,IND-09
SYN-01272,Help needed to verify parking gate in reception before noon,Facilities,Support Request,IND-10
SYN-01273,Service needed: repair lighting in level two before noon.,Facilities,Service Request,IND-01
SYN-01274,"Follow up feedback at main office, when available.",Customer Support,Service Request,IND-08
SYN-01275,Request to clean waste bin - level two - when available.,Cleaning,Service Request,IND-05
SYN-01276,Request to restore door - storage area - this afternoon.,Facilities,Service Request,IND-01
SYN-01277,"Replace tool kit at main office, today",Equipment,Service Request,IND-07
SYN-01278,Complaint: recurring issue with package at storage area.,Logistics,Complaint,IND-09
SYN-01279,Complaint: recurring issue with information request at level two.,Customer Support,Complaint,IND-09
SYN-01280,Service needed: review food tray in reception this afternoon.,Food Services,Service Request,IND-04
SYN-01281,Request to review meal order - storage area - before noon.,Food Services,Service Request,IND-04
SYN-01282,Request to repair elevator - north wing - before noon.,Facilities,Service Request,IND-01
SYN-01283,Complaint: recurring issue with special meal at main office,Food Services,Complaint,IND-09
SYN-01284,Request to review visitor entrance - north wing - as soon as possible,Security,Service Request,IND-06
SYN-01285,"pls check the lighting at main office, this afternoon.",Facilities,Service Request,IND-01
SYN-01286,Request to check water leak - main office - this afternoon,Facilities,Service Request,IND-01
SYN-01287,service needed: inspect air conditioner in north wing this afternoon.,Facilities,Service Request,IND-01
SYN-01288,"Please provide support to review the access badge at north wing, this afternoon.",Security,Support Request,IND-10
SYN-01289,"Please replace the portable monitor at storage area, this afternoon",Equipment,Service Request,IND-07
SYN-01290,Complaint: recurring issue with network at north wing,IT Support,Complaint,IND-09
SYN-01291,"Locate camera at reception, as soon as possible.",Security,Service Request,IND-06
SYN-01292,"Calibrate portable monitor at north wing, before noon.",Facilities,Service Request,IND-01
SYN-01293,Request to update application - north wing - when available.,IT Support,Service Request,IND-02
SYN-01294,Request to review special meal - reception - as soon as possible.,Food Services,Service Request,IND-04
SYN-01295,Help needed to respond to appointment in level two as soon as possible.,Customer Support,Support Request,IND-10
SYN-01296,Request to inspect air conditioner - main office - today.,Facilities,Service Request,IND-01
SYN-01297,Complaint: recurring issue with application at level two.,Facilities,Complaint,IND-09
SYN-01298,"Transfer document box at storage area, before noon.",IT Support,Support Request,IND-10
SYN-01299,Help needed to deliver beverage station in main office before noon.,Food Services,Support Request,IND-10
SYN-01300,Request to connect network - storage area - when available,IT Support,Service Request,IND-02
SYN-01301,"Review access badge at storage area, as soon as possible.",Security,Service Request,IND-06
SYN-01302,"Please adjust the lighting at main office, this afternoon",Facilities,Service Request,IND-01
SYN-01303,"collect delivery cart at level two, today.",Logistics,Complaint,IND-09
SYN-01304,"Please configure the application at north wing, as soon as possible",Cleaning,Service Request,IND-05
SYN-01305,"deliver package at level two, before noon.",Security,Support Request,IND-10
SYN-01306,Request to clarify feedback - storage area - when available.,IT Support,Service Request,IND-02
SYN-01307,svc needed: locate shipment in main office this afternoon.,Logistics,Service Request,IND-03
SYN-01308,"please provide support to sanitize the hallway at storage area, as soon as possible.",Cleaning,Support Request,IND-10
SYN-01309,"Please replace the meal order at reception, when available.",Food Services,Service Request,IND-04
SYN-01310,Service needed: diagnose application in north wing today.,IT Support,Service Request,IND-02
SYN-01311,Service needed: inspect window in main office this afternoon.,Cleaning,Service Request,IND-05
SYN-01312,"Please locate the access badge at level two, when available.",Security,Service Request,IND-06
SYN-01313,"Please provide support to connect the printer at storage area, before noon.",IT Support,Support Request,IND-10
SYN-01314,Complaint: recurring issue with meeting room at north wing,Cleaning,Complaint,IND-09
SYN-01315,"Please provide support to review the access badge at main office, before noon.",Security,Support Request,IND-10
SYN-01316,Service needed: inspect office chair in main office today.,Equipment,Service Request,IND-07
SYN-01317,"Please clean the hallway at north wing, when available.",Cleaning,Service Request,IND-05
SYN-01318,Complaint: recurring issue with meal order at reception.,Food Services,Complaint,IND-09
SYN-01319,"Deliver meal order at main office, as soon as possible.",Food Services,Complaint,IND-09
SYN-01322,Request to inspect air conditioner - reception - today.,Facilities,Service Request,IND-01
SYN-01323,help needed to restore door in north wing before noon.,Facilities,Support Request,IND-10
SYN-01324,Service needed: monitor access badge in north wing today.,Security,Service Request,IND-06
SYN-01325,Service needed: review complaint in level two before noon.,IT Support,Service Request,IND-02
SYN-01326,"replace office chair at level two, when available.",Equipment,Service Request,IND-07
SYN-01327,Service needed: confirm special meal in reception this afternoon.,Food Services,Service Request,IND-04
SYN-01328,Request to adjust lighting - level two - this afternoon.,Facilities,Service Request,IND-01
SYN-01329,"pls sanitize the waste bin at north wing, before noon.",Cleaning,Service Request,IND-05
SYN-01330,"diagnose laptop at north wing, this afternoon.",IT Support,Service Request,IND-02
SYN-01331,"Please provide support to replace the meal order at storage area, before noon.",Food Services,Support Request,IND-10
SYN-01332,"Please provide support to clean the spill at storage area, today.",Cleaning,Support Request,IND-10
SYN-01334,request to inspect waste bin - storage area - before noon.,Cleaning,Service Request,IND-05
SYN-01335,"Monitor visitor entrance at reception, before noon.",Security,Complaint,IND-09
SYN-01336,Service needed: reset user account in north wing when available.,IT Support,Service Request,IND-02
SYN-01337,"check elevator at main office, as soon as possible",Facilities,Service Request,IND-01
SYN-01338,Service needed: replace office chair in reception today,Equipment,Service Request,IND-07
SYN-01339,Service needed: wash hallway in north wing today.,Cleaning,Service Request,IND-01
SYN-01340,Complaint: recurring issue with supply order at storage area.,Logistics,Complaint,IND-09
SYN-01341,"Please review the parking gate at reception, this afternoon.",Security,Service Request,IND-06
SYN-01342,"The network issue at storage area happened again, please review.",IT Support,Complaint,IND-09
SYN-01343,Complaint: recurring issue with document box at reception.,Logistics,Complaint,IND-09
SYN-01344,Service needed: configure user account in north wing today.,IT Support,Service Request,IND-02
SYN-01346,Request to configure application - level two - when available.,IT Support,Service Request,IND-02
SYN-01347,Complaint: recurring issue with supply order at reception.,Logistics,Complaint,IND-09
SYN-01348,Service needed: connect user account in reception before noon.,IT Support,Service Request,IND-02
SYN-01349,"Inspect door at storage area, today.",Facilities,Service Request,IND-01
SYN-01350,Help needed to remove waste bin in reception this afternoon.,Cleaning,Support Request,IND-10
SYN-01351,Service needed: locate document box in storage area this afternoon.,Logistics,Service Request,IND-03
SYN-01352,"Update user account at storage area, when available.",IT Support,Service Request,IND-02
SYN-01353,Help needed to replace meal order in main office as soon as possible,Food Services,Support Request,IND-10
SYN-01354,"Please inspect the door at storage area, this afternoon.",Facilities,Service Request,IND-01
SYN-01355,Request to diagnose application - reception - before noon.,IT Support,Service Request,IND-02
SYN-01356,complaint: recurring issue with meeting room at main office.,Cleaning,Complaint,IND-09
SYN-01357,Service needed: connect laptop in storage area today.,IT Support,Service Request,IND-02
SYN-01358,"please respond to the service status at level two, before noon.",Customer Support,Service Request,IND-08
SYN-01359,"Clean hallway at main office, today",Facilities,Service Request,IND-01
SYN-01360,service needed: repair air conditioner in level two before noon.,Facilities,Service Request,IND-01
SYN-01361,"please review the special meal at north wing, today.",Food Services,Service Request,IND-04
SYN-01362,"Please inspect the meeting room at storage area, today.",Cleaning,Service Request,IND-05
SYN-01363,"please repair the lighting at main office, this afternoon.",Facilities,Service Request,IND-01
SYN-01364,Service needed: authorize visitor entrance in main office before noon,Security,Service Request,IND-06
SYN-01365,"pls provide support to schedule the document box at north wing, this afternoon.",Customer Support,Support Request,IND-10
SYN-01367,"Locate delivery cart at level two, today.",Logistics,Support Request,IND-10
SYN-01368,"The portable monitor issue at storage area happened again, please review.",Equipment,Complaint,IND-09
SYN-01369,Service needed: replace menu in reception as soon as possible,Food Services,Service Request,IND-04
SYN-01370,"Please provide support to connect the network at north wing, this afternoon.",IT Support,Support Request,IND-10
SYN-01371,"Please reset the application at level two, before noon.",IT Support,Service Request,IND-02
SYN-01372,"the user account issue at reception happened again, please review.",IT Support,Complaint,IND-09
SYN-01373,"Please inspect the projector at level two, as soon as possible.",Equipment,Service Request,IND-07
SYN-01374,"The elevator issue at level two happened again, pls review.",Facilities,Complaint,IND-09
SYN-01375,"Please deliver the supply order at reception, as soon as possible.",Logistics,Service Request,IND-03
SYN-01376,"Locate supply order at storage area, today.",Logistics,Support Request,IND-10
SYN-01377,Service needed: connect laptop in reception as soon as possible.,IT Support,Service Request,IND-02
SYN-01378,"Update user account at main office, as soon as possible.",IT Support,Service Request,IND-02
SYN-01379,"Sanitize spill at main office, as soon as possible.",Cleaning,Service Request,IND-05
SYN-01380,"Please provide support to follow up the service status at north wing, as soon as possible.",Customer Support,Support Request,IND-10
SYN-01381,Help needed to schedule document box in level two as soon as possible.,Logistics,Support Request,IND-10
SYN-01382,"Please adjust the water leak at reception, before noon.",Facilities,Service Request,IND-01
SYN-01383,Complaint: recurring issue with water leak at storage area.,Facilities,Complaint,IND-09
SYN-01384,"Please provide support to restore the water leak at reception, when available.",Facilities,Support Request,IND-10
SYN-01385,"Please provide support to deliver the menu at reception, today.",Food Services,Support Request,IND-10
SYN-01386,Request to configure application - north wing - today.,IT Support,Service Request,IND-02
SYN-01387,"Please update the user account at reception, when available",IT Support,Service Request,IND-02
SYN-01388,"Diagnose printer at storage area, this afternoon.",IT Support,Complaint,IND-09
SYN-01389,Help needed to inspect lighting in level two when available.,Facilities,Support Request,IND-10
SYN-01390,Request to verify access badge - level two - when available.,Security,Service Request,IND-06
SYN-01391,Request to verify visitor entrance - north wing - before noon.,Security,Service Request,IND-06
SYN-01392,"Please provide support to reset the application at reception, as soon as possible.",IT Support,Support Request,IND-10
SYN-01393,"The menu issue at north wing happened again, please review",IT Support,Complaint,IND-09
SYN-01394,"Connect user account at reception, before noon.",IT Support,Service Request,IND-02
SYN-01395,Complaint: recurring issue with meal order at storage area.,Food Services,Complaint,IND-09
SYN-01396,Help needed to restore door in north wing today.,Facilities,Support Request,IND-10
SYN-01397,Service needed: sanitize meeting room in storage area this afternoon.,Cleaning,Service Request,IND-05
SYN-01398,"Repair elevator at main office, as soon as possible",Facilities,Complaint,IND-09
SYN-01399,Help needed to restore lighting in north wing as soon as possible.,Facilities,Support Request,IND-10
SYN-01400,Request to replace meal order - main office - when available.,Food Services,Service Request,IND-04
SYN-01401,request to sanitize spill - main office - when available.,Cleaning,Service Request,IND-05
SYN-01402,Request to clean waste bin - main office - before noon.,Cleaning,Service Request,IND-05
SYN-01403,"The portable monitor issue at reception happened again, please review.",Equipment,Complaint,IND-09
SYN-01404,"The application issue at reception happened again, pls review.",IT Support,Complaint,IND-09
SYN-01405,Request to review camera - storage area - when available.,Security,Service Request,IND-06
SYN-01406,"Please collect the package at main office, as soon as possible.",Logistics,Service Request,IND-03
SYN-01407,"The spill issue at reception happened again, please review",Cleaning,Complaint,IND-09
SYN-01408,"Register feedback at level two, as soon as possible.",Customer Support,Service Request,IND-08
SYN-01409,"Please deliver the menu at main office, before noon.",Food Services,Service Request,IND-04
SYN-01410,Service needed: verify lost item in main office before noon.,Security,Service Request,IND-06
SYN-01411,"Deliver shipment at reception, as soon as possible",Logistics,Service Request,IND-03
SYN-01412,help needed to wash hallway in storage area before noon.,Cleaning,Support Request,IND-10
SYN-01413,Help needed to diagnose user account in main office before noon.,IT Support,Support Request,IND-02
SYN-01414,"Repair water leak at storage area, when available.",Facilities,Complaint,IND-09
